agent_name,model,priming,round,balance
Agent-1,openai,neutral,0,1000
Agent-10,claude,neutral,0,1000
Agent-11,openai,neutral,0,1000
Agent-12,claude,neutral,0,1000
Agent-13,openai,neutral,0,1000
Agent-14,claude,neutral,0,1000
Agent-15,openai,neutral,0,1000
Agent-16,claude,neutral,0,1000
Agent-2,openai,neutral,0,1000
Agent-3,openai,neutral,0,1000
Agent-4,openai,neutral,0,1000
Agent-5,claude,neutral,0,1000
Agent-6,claude,neutral,0,1000
Agent-7,claude,neutral,0,1000
Agent-8,openai,neutral,0,1000
Agent-9,claude,neutral,0,1000
Agent-1,openai,neutral,1,1000
Agent-10,claude,neutral,1,1000
Agent-11,openai,neutral,1,1000
Agent-12,claude,neutral,1,1000
Agent-13,openai,neutral,1,1000
Agent-14,claude,neutral,1,1000
Agent-15,openai,neutral,1,1000
Agent-16,claude,neutral,1,1000
Agent-2,openai,neutral,1,1000
Agent-3,openai,neutral,1,1000
Agent-4,openai,neutral,1,1000
Agent-5,claude,neutral,1,1000
Agent-6,claude,neutral,1,1000
Agent-7,claude,neutral,1,1000
Agent-8,openai,neutral,1,1000
Agent-9,claude,neutral,1,1000
Agent-1,openai,neutral,2,1000
Agent-10,claude,neutral,2,1000
Agent-11,openai,neutral,2,1000
Agent-12,claude,neutral,2,950
Agent-13,openai,neutral,2,1000
Agent-14,claude,neutral,2,1000
Agent-15,openai,neutral,2,1000
Agent-16,claude,neutral,2,1000
Agent-2,openai,neutral,2,1000
Agent-3,openai,neutral,2,1000
Agent-4,openai,neutral,2,1000
Agent-5,claude,neutral,2,1050
Agent-6,claude,neutral,2,1000
Agent-7,claude,neutral,2,1000
Agent-8,openai,neutral,2,1000
Agent-9,claude,neutral,2,1000
Agent-1,openai,neutral,3,1000
Agent-10,claude,neutral,3,1000
Agent-11,openai,neutral,3,1000
Agent-12,claude,neutral,3,1000
Agent-13,openai,neutral,3,1000
Agent-14,claude,neutral,3,950
Agent-15,openai,neutral,3,1000
Agent-16,claude,neutral,3,1000
Agent-2,openai,neutral,3,1000
Agent-3,openai,neutral,3,1000
Agent-4,openai,neutral,3,1000
Agent-5,claude,neutral,3,1000
Agent-6,claude,neutral,3,1000
Agent-7,claude,neutral,3,1050
Agent-8,openai,neutral,3,1000
Agent-9,claude,neutral,3,1000
Agent-1,openai,neutral,4,1000
Agent-10,claude,neutral,4,1000
Agent-11,openai,neutral,4,1000
Agent-12,claude,neutral,4,1100
Agent-13,openai,neutral,4,1000
Agent-14,claude,neutral,4,1010
Agent-15,openai,neutral,4,1000
Agent-16,claude,neutral,4,950
Agent-2,openai,neutral,4,1000
Agent-3,openai,neutral,4,1050
Agent-4,openai,neutral,4,1000
Agent-5,claude,neutral,4,940
Agent-6,claude,neutral,4,1000
Agent-7,claude,neutral,4,990
Agent-8,openai,neutral,4,960
Agent-9,claude,neutral,4,1000
Agent-1,openai,neutral,5,1000
Agent-10,claude,neutral,5,1000
Agent-11,openai,neutral,5,1000
Agent-12,claude,neutral,5,1160
Agent-13,openai,neutral,5,1000
Agent-14,claude,neutral,5,1070
Agent-15,openai,neutral,5,1000
Agent-16,claude,neutral,5,950
Agent-2,openai,neutral,5,1050
Agent-3,openai,neutral,5,1050
Agent-4,openai,neutral,5,1000
Agent-5,claude,neutral,5,880
Agent-6,claude,neutral,5,1000
Agent-7,claude,neutral,5,930
Agent-8,openai,neutral,5,960
Agent-9,claude,neutral,5,950
Agent-1,openai,neutral,6,1000
Agent-10,claude,neutral,6,1060
Agent-11,openai,neutral,6,1000
Agent-12,claude,neutral,6,1230
Agent-13,openai,neutral,6,1000
Agent-14,claude,neutral,6,1130
Agent-15,openai,neutral,6,1000
Agent-16,claude,neutral,6,950
Agent-2,openai,neutral,6,1100
Agent-3,openai,neutral,6,990
Agent-4,openai,neutral,6,1000
Agent-5,claude,neutral,6,860
Agent-6,claude,neutral,6,950
Agent-7,claude,neutral,6,870
Agent-8,openai,neutral,6,960
Agent-9,claude,neutral,6,900
Agent-1,openai,neutral,7,1000
Agent-10,claude,neutral,7,1170
Agent-11,openai,neutral,7,1000
Agent-12,claude,neutral,7,1150
Agent-13,openai,neutral,7,1000
Agent-14,claude,neutral,7,1130
Agent-15,openai,neutral,7,1000
Agent-16,claude,neutral,7,900
Agent-2,openai,neutral,7,1100
Agent-3,openai,neutral,7,930
Agent-4,openai,neutral,7,1000
Agent-5,claude,neutral,7,880
Agent-6,claude,neutral,7,1010
Agent-7,claude,neutral,7,870
Agent-8,openai,neutral,7,960
Agent-9,claude,neutral,7,900
Agent-1,openai,neutral,8,1000
Agent-10,claude,neutral,8,1170
Agent-11,openai,neutral,8,950
Agent-12,claude,neutral,8,1100
Agent-13,openai,neutral,8,1000
Agent-14,claude,neutral,8,1140
Agent-15,openai,neutral,8,1000
Agent-16,claude,neutral,8,900
Agent-2,openai,neutral,8,1040
Agent-3,openai,neutral,8,930
Agent-4,openai,neutral,8,1000
Agent-5,claude,neutral,8,920
Agent-6,claude,neutral,8,1120
Agent-7,claude,neutral,8,860
Agent-8,openai,neutral,8,910
Agent-9,claude,neutral,8,960
Agent-1,openai,neutral,9,1050
Agent-10,claude,neutral,9,1180
Agent-11,openai,neutral,9,960
Agent-12,claude,neutral,9,1060
Agent-13,openai,neutral,9,950
Agent-14,claude,neutral,9,1150
Agent-15,openai,neutral,9,950
Agent-16,claude,neutral,9,900
Agent-2,openai,neutral,9,980
Agent-3,openai,neutral,9,870
Agent-4,openai,neutral,9,1000
Agent-5,claude,neutral,9,960
Agent-6,claude,neutral,9,1210
Agent-7,claude,neutral,9,850
Agent-8,openai,neutral,9,910
Agent-9,claude,neutral,9,1020
Agent-1,openai,neutral,10,1040
Agent-10,claude,neutral,10,1190
Agent-11,openai,neutral,10,960
Agent-12,claude,neutral,10,1070
Agent-13,openai,neutral,10,900
Agent-14,claude,neutral,10,1160
Agent-15,openai,neutral,10,1010
Agent-16,claude,neutral,10,900
Agent-2,openai,neutral,10,980
Agent-3,openai,neutral,10,870
Agent-4,openai,neutral,10,1000
Agent-5,claude,neutral,10,950
Agent-6,claude,neutral,10,1200
Agent-7,claude,neutral,10,840
Agent-8,openai,neutral,10,910
Agent-9,claude,neutral,10,1020
Agent-1,openai,neutral,11,980
Agent-10,claude,neutral,11,1250
Agent-11,openai,neutral,11,960
Agent-12,claude,neutral,11,1130
Agent-13,openai,neutral,11,910
Agent-14,claude,neutral,11,1170
Agent-15,openai,neutral,11,960
Agent-16,claude,neutral,11,950
Agent-2,openai,neutral,11,920
Agent-3,openai,neutral,11,870
Agent-4,openai,neutral,11,1000
Agent-5,claude,neutral,11,890
Agent-6,claude,neutral,11,1190
Agent-7,claude,neutral,11,830
Agent-8,openai,neutral,11,910
Agent-9,claude,neutral,11,1080
Agent-1,openai,neutral,12,930
Agent-10,claude,neutral,12,1300
Agent-11,openai,neutral,12,1020
Agent-12,claude,neutral,12,1080
Agent-13,openai,neutral,12,970
Agent-14,claude,neutral,12,1190
Agent-15,openai,neutral,12,900
Agent-16,claude,neutral,12,950
Agent-2,openai,neutral,12,920
Agent-3,openai,neutral,12,870
Agent-4,openai,neutral,12,950
Agent-5,claude,neutral,12,940
Agent-6,claude,neutral,12,1180
Agent-7,claude,neutral,12,760
Agent-8,openai,neutral,12,910
Agent-9,claude,neutral,12,1130
Agent-1,openai,neutral,13,940
Agent-10,claude,neutral,13,1290
Agent-11,openai,neutral,13,960
Agent-12,claude,neutral,13,1090
Agent-13,openai,neutral,13,970
Agent-14,claude,neutral,13,1130
Agent-15,openai,neutral,13,910
Agent-16,claude,neutral,13,950
Agent-2,openai,neutral,13,860
Agent-3,openai,neutral,13,870
Agent-4,openai,neutral,13,1010
Agent-5,claude,neutral,13,930
Agent-6,claude,neutral,13,1170
Agent-7,claude,neutral,13,820
Agent-8,openai,neutral,13,910
Agent-9,claude,neutral,13,1190
Agent-1,openai,neutral,14,950
Agent-10,claude,neutral,14,1330
Agent-11,openai,neutral,14,900
Agent-12,claude,neutral,14,1100
Agent-13,openai,neutral,14,970
Agent-14,claude,neutral,14,1200
Agent-15,openai,neutral,14,860
Agent-16,claude,neutral,14,960
Agent-2,openai,neutral,14,800
Agent-3,openai,neutral,14,870
Agent-4,openai,neutral,14,1020
Agent-5,claude,neutral,14,970
Agent-6,claude,neutral,14,1110
Agent-7,claude,neutral,14,860
Agent-8,openai,neutral,14,910
Agent-9,claude,neutral,14,1190
Agent-1,openai,neutral,15,950
Agent-10,claude,neutral,15,1330
Agent-11,openai,neutral,15,960
Agent-12,claude,neutral,15,1110
Agent-13,openai,neutral,15,920
Agent-14,claude,neutral,15,1200
Agent-15,openai,neutral,15,870
Agent-16,claude,neutral,15,910
Agent-2,openai,neutral,15,800
Agent-3,openai,neutral,15,920
Agent-4,openai,neutral,15,1070
Agent-5,claude,neutral,15,1010
Agent-6,claude,neutral,15,1050
Agent-7,claude,neutral,15,910
Agent-8,openai,neutral,15,860
Agent-9,claude,neutral,15,1130
Agent-1,openai,neutral,16,960
Agent-10,claude,neutral,16,1320
Agent-11,openai,neutral,16,910
Agent-12,claude,neutral,16,1120
Agent-13,openai,neutral,16,920
Agent-14,claude,neutral,16,1210
Agent-15,openai,neutral,16,870
Agent-16,claude,neutral,16,910
Agent-2,openai,neutral,16,800
Agent-3,openai,neutral,16,920
Agent-4,openai,neutral,16,1080
Agent-5,claude,neutral,16,1000
Agent-6,claude,neutral,16,1040
Agent-7,claude,neutral,16,900
Agent-8,openai,neutral,16,960
Agent-9,claude,neutral,16,1080
Agent-1,openai,neutral,17,970
Agent-10,claude,neutral,17,1310
Agent-11,openai,neutral,17,910
Agent-12,claude,neutral,17,1070
Agent-13,openai,neutral,17,920
Agent-14,claude,neutral,17,1150
Agent-15,openai,neutral,17,930
Agent-16,claude,neutral,17,980
Agent-2,openai,neutral,17,800
Agent-3,openai,neutral,17,870
Agent-4,openai,neutral,17,1030
Agent-5,claude,neutral,17,990
Agent-6,claude,neutral,17,1030
Agent-7,claude,neutral,17,900
Agent-8,openai,neutral,17,1110
Agent-9,claude,neutral,17,1030
Agent-1,openai,neutral,18,980
Agent-10,claude,neutral,18,1300
Agent-11,openai,neutral,18,910
Agent-12,claude,neutral,18,1080
Agent-13,openai,neutral,18,920
Agent-14,claude,neutral,18,1090
Agent-15,openai,neutral,18,990
Agent-16,claude,neutral,18,990
Agent-2,openai,neutral,18,800
Agent-3,openai,neutral,18,820
Agent-4,openai,neutral,18,980
Agent-5,claude,neutral,18,980
Agent-6,claude,neutral,18,1020
Agent-7,claude,neutral,18,950
Agent-8,openai,neutral,18,1210
Agent-9,claude,neutral,18,980
Agent-1,openai,neutral,19,990
Agent-10,claude,neutral,19,1290
Agent-11,openai,neutral,19,910
Agent-12,claude,neutral,19,1090
Agent-13,openai,neutral,19,920
Agent-14,claude,neutral,19,1030
Agent-15,openai,neutral,19,990
Agent-16,claude,neutral,19,1050
Agent-2,openai,neutral,19,800
Agent-3,openai,neutral,19,820
Agent-4,openai,neutral,19,990
Agent-5,claude,neutral,19,970
Agent-6,claude,neutral,19,1010
Agent-7,claude,neutral,19,950
Agent-8,openai,neutral,19,1210
Agent-9,claude,neutral,19,980
Agent-1,openai,neutral,20,1000
Agent-10,claude,neutral,20,1280
Agent-11,openai,neutral,20,910
Agent-12,claude,neutral,20,1090
Agent-13,openai,neutral,20,870
Agent-14,claude,neutral,20,1030
Agent-15,openai,neutral,20,1050
Agent-16,claude,neutral,20,990
Agent-2,openai,neutral,20,800
Agent-3,openai,neutral,20,870
Agent-4,openai,neutral,20,1050
Agent-5,claude,neutral,20,970
Agent-6,claude,neutral,20,950
Agent-7,claude,neutral,20,950
Agent-8,openai,neutral,20,1150
Agent-9,claude,neutral,20,1040
Agent-1,openai,neutral,21,1060
Agent-10,claude,neutral,21,1280
Agent-11,openai,neutral,21,980
Agent-12,claude,neutral,21,1090
Agent-13,openai,neutral,21,920
Agent-14,claude,neutral,21,1020
Agent-15,openai,neutral,21,990
Agent-16,claude,neutral,21,930
Agent-2,openai,neutral,21,750
Agent-3,openai,neutral,21,820
Agent-4,openai,neutral,21,1050
Agent-5,claude,neutral,21,1020
Agent-6,claude,neutral,21,950
Agent-7,claude,neutral,21,950
Agent-8,openai,neutral,21,1090
Agent-9,claude,neutral,21,1100
Agent-1,openai,neutral,22,1060
Agent-10,claude,neutral,22,1330
Agent-11,openai,neutral,22,990
Agent-12,claude,neutral,22,1090
Agent-13,openai,neutral,22,920
Agent-14,claude,neutral,22,960
Agent-15,openai,neutral,22,990
Agent-16,claude,neutral,22,930
Agent-2,openai,neutral,22,750
Agent-3,openai,neutral,22,820
Agent-4,openai,neutral,22,1050
Agent-5,claude,neutral,22,1070
Agent-6,claude,neutral,22,890
Agent-7,claude,neutral,22,1010
Agent-8,openai,neutral,22,1030
Agent-9,claude,neutral,22,1110
Agent-1,openai,neutral,23,1060
Agent-10,claude,neutral,23,1330
Agent-11,openai,neutral,23,1000
Agent-12,claude,neutral,23,1100
Agent-13,openai,neutral,23,910
Agent-14,claude,neutral,23,960
Agent-15,openai,neutral,23,930
Agent-16,claude,neutral,23,990
Agent-2,openai,neutral,23,690
Agent-3,openai,neutral,23,830
Agent-4,openai,neutral,23,1050
Agent-5,claude,neutral,23,1110
Agent-6,claude,neutral,23,890
Agent-7,claude,neutral,23,1070
Agent-8,openai,neutral,23,970
Agent-9,claude,neutral,23,1110
Agent-1,openai,neutral,24,1120
Agent-10,claude,neutral,24,1270
Agent-11,openai,neutral,24,1060
Agent-12,claude,neutral,24,1040
Agent-13,openai,neutral,24,960
Agent-14,claude,neutral,24,1010
Agent-15,openai,neutral,24,930
Agent-16,claude,neutral,24,930
Agent-2,openai,neutral,24,640
Agent-3,openai,neutral,24,840
Agent-4,openai,neutral,24,1050
Agent-5,claude,neutral,24,1170
Agent-6,claude,neutral,24,940
Agent-7,claude,neutral,24,1070
Agent-8,openai,neutral,24,910
Agent-9,claude,neutral,24,1060
Agent-1,openai,neutral,25,1060
Agent-10,claude,neutral,25,1270
Agent-11,openai,neutral,25,1000
Agent-12,claude,neutral,25,980
Agent-13,openai,neutral,25,900
Agent-14,claude,neutral,25,1070
Agent-15,openai,neutral,25,930
Agent-16,claude,neutral,25,870
Agent-2,openai,neutral,25,700
Agent-3,openai,neutral,25,970
Agent-4,openai,neutral,25,1050
Agent-5,claude,neutral,25,1280
Agent-6,claude,neutral,25,880
Agent-7,claude,neutral,25,1070
Agent-8,openai,neutral,25,910
Agent-9,claude,neutral,25,1060
Agent-1,openai,neutral,26,1050
Agent-10,claude,neutral,26,1280
Agent-11,openai,neutral,26,940
Agent-12,claude,neutral,26,980
Agent-13,openai,neutral,26,950
Agent-14,claude,neutral,26,1070
Agent-15,openai,neutral,26,990
Agent-16,claude,neutral,26,870
Agent-2,openai,neutral,26,700
Agent-3,openai,neutral,26,920
Agent-4,openai,neutral,26,1000
Agent-5,claude,neutral,26,1390
Agent-6,claude,neutral,26,870
Agent-7,claude,neutral,26,1010
Agent-8,openai,neutral,26,860
Agent-9,claude,neutral,26,1120
Agent-1,openai,neutral,27,1110
Agent-10,claude,neutral,27,1270
Agent-11,openai,neutral,27,990
Agent-12,claude,neutral,27,930
Agent-13,openai,neutral,27,940
Agent-14,claude,neutral,27,1130
Agent-15,openai,neutral,27,990
Agent-16,claude,neutral,27,870
Agent-2,openai,neutral,27,700
Agent-3,openai,neutral,27,930
Agent-4,openai,neutral,27,950
Agent-5,claude,neutral,27,1380
Agent-6,claude,neutral,27,870
Agent-7,claude,neutral,27,1010
Agent-8,openai,neutral,27,870
Agent-9,claude,neutral,27,1060
Agent-1,openai,neutral,28,1110
Agent-10,claude,neutral,28,1320
Agent-11,openai,neutral,28,990
Agent-12,claude,neutral,28,930
Agent-13,openai,neutral,28,890
Agent-14,claude,neutral,28,1190
Agent-15,openai,neutral,28,930
Agent-16,claude,neutral,28,870
Agent-2,openai,neutral,28,650
Agent-3,openai,neutral,28,930
Agent-4,openai,neutral,28,960
Agent-5,claude,neutral,28,1430
Agent-6,claude,neutral,28,870
Agent-7,claude,neutral,28,950
Agent-8,openai,neutral,28,920
Agent-9,claude,neutral,28,1060
Agent-1,openai,neutral,29,1060
Agent-10,claude,neutral,29,1310
Agent-11,openai,neutral,29,940
Agent-12,claude,neutral,29,930
Agent-13,openai,neutral,29,890
Agent-14,claude,neutral,29,1250
Agent-15,openai,neutral,29,990
Agent-16,claude,neutral,29,810
Agent-2,openai,neutral,29,590
Agent-3,openai,neutral,29,930
Agent-4,openai,neutral,29,1020
Agent-5,claude,neutral,29,1490
Agent-6,claude,neutral,29,870
Agent-7,claude,neutral,29,950
Agent-8,openai,neutral,29,920
Agent-9,claude,neutral,29,1050
Agent-1,openai,neutral,30,1010
Agent-10,claude,neutral,30,1300
Agent-11,openai,neutral,30,950
Agent-12,claude,neutral,30,930
Agent-13,openai,neutral,30,1000
Agent-14,claude,neutral,30,1360
Agent-15,openai,neutral,30,990
Agent-16,claude,neutral,30,750
Agent-2,openai,neutral,30,540
Agent-3,openai,neutral,30,880
Agent-4,openai,neutral,30,1020
Agent-5,claude,neutral,30,1540
Agent-6,claude,neutral,30,870
Agent-7,claude,neutral,30,950
Agent-8,openai,neutral,30,920
Agent-9,claude,neutral,30,990
Agent-1,openai,neutral,31,1010
Agent-10,claude,neutral,31,1300
Agent-11,openai,neutral,31,960
Agent-12,claude,neutral,31,940
Agent-13,openai,neutral,31,940
Agent-14,claude,neutral,31,1420
Agent-15,openai,neutral,31,1000
Agent-16,claude,neutral,31,740
Agent-2,openai,neutral,31,490
Agent-3,openai,neutral,31,940
Agent-4,openai,neutral,31,1020
Agent-5,claude,neutral,31,1580
Agent-6,claude,neutral,31,860
Agent-7,claude,neutral,31,950
Agent-8,openai,neutral,31,920
Agent-9,claude,neutral,31,930
Agent-1,openai,neutral,32,1070
Agent-10,claude,neutral,32,1240
Agent-11,openai,neutral,32,970
Agent-12,claude,neutral,32,1000
Agent-13,openai,neutral,32,880
Agent-14,claude,neutral,32,1480
Agent-15,openai,neutral,32,1010
Agent-16,claude,neutral,32,730
Agent-2,openai,neutral,32,440
Agent-3,openai,neutral,32,950
Agent-4,openai,neutral,32,1020
Agent-5,claude,neutral,32,1680
Agent-6,claude,neutral,32,850
Agent-7,claude,neutral,32,950
Agent-8,openai,neutral,32,860
Agent-9,claude,neutral,32,870
Agent-1,openai,neutral,33,1070
Agent-10,claude,neutral,33,1230
Agent-11,openai,neutral,33,1030
Agent-12,claude,neutral,33,950
Agent-13,openai,neutral,33,880
Agent-14,claude,neutral,33,1480
Agent-15,openai,neutral,33,1010
Agent-16,claude,neutral,33,730
Agent-2,openai,neutral,33,440
Agent-3,openai,neutral,33,1010
